date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:50:08	20909/20909	---MCZ	200	added ('OK')	text/html	etag:W/%2230b98e6309199e69413bba78492d770b%22	https://preview.themeforest.net/item/smarthr-bootstrap-admin-panel-template/full_screen_preview/21153150?_ga=2.198023082.409208515.1551843542-48495272.1551843542	C:/My%20Web%20Sites/SmartHR2/preview.themeforest.net/item/smarthr-bootstrap-admin-panel-template/full_screen_preview/211531502425.html	(from )
03:50:09	0/0	---M--	200	added ('OK')	text/plain	etag:%225c7f02fd-0%22	https://preview.themeforest.net/robots.txt		(from )
03:50:10	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Wed,%2006%20Mar%202019%2003:50:09%20GMT	http://s3.envato.com/	C:/My%20Web%20Sites/SmartHR2/s3.envato.com/index.html	(from https://preview.themeforest.net/item/smarthr-bootstrap-admin-panel-template/full_screen_preview/21153150?_ga=2.198023082.409208515.1551843542-48495272.1551843542)
03:50:10	0/0	---MC-	410	error ('Gone')	text/html	date:Wed,%2006%20Mar%202019%2003:50:10%20GMT	https://preview.themeforest.net/item/smarthr-bootstrap-admin-panel-template/full_screen_preview/&quot;https://www.dreamguys.co.in/codecanyon/March	C:/My%20Web%20Sites/SmartHR2/preview.themeforest.net/item/smarthr-bootstrap-admin-panel-template/full_screen_preview/&quot;https_/www.dreamguys.co.in/codecanyon/March	(from https://preview.themeforest.net/item/smarthr-bootstrap-admin-panel-template/full_screen_preview/21153150?_ga=2.198023082.409208515.1551843542-48495272.1551843542)
03:50:11	191426/191426	---MCZ	200	added ('OK')	text/css	date:Thu,%2028%20Feb%202019%2002:40:39%20GMT	https://public-assets.envato-static.com/assets/market/core/index-82ef8ec85ef4fe4d64d82c1a0482126f3e45008e84d3aa9d89938d1b81791e1b.css	C:/My%20Web%20Sites/SmartHR2/public-assets.envato-static.com/assets/market/core/index-82ef8ec85ef4fe4d64d82c1a0482126f3e45008e84d3aa9d89938d1b81791e1b.css	(from https://preview.themeforest.net/item/smarthr-bootstrap-admin-panel-template/full_screen_preview/21153150?_ga=2.198023082.409208515.1551843542-48495272.1551843542)
03:50:12	1977/1977	---MCZ	200	added ('OK')	text/css	date:Fri,%2025%20Jan%202019%2002:53:21%20GMT	https://public-assets.envato-static.com/assets/market/pages/preview/index-004d35cdd5d555cdd3e956d1b916825642de06529f0fe91fd9f390813761d2fc.css	C:/My%20Web%20Sites/SmartHR2/public-assets.envato-static.com/assets/market/pages/preview/index-004d35cdd5d555cdd3e956d1b916825642de06529f0fe91fd9f390813761d2fc.css	(from https://preview.themeforest.net/item/smarthr-bootstrap-admin-panel-template/full_screen_preview/21153150?_ga=2.198023082.409208515.1551843542-48495272.1551843542)
03:50:12	3056/3056	---M--	200	added ('OK')	image/png	etag:%223305876b2f17da6c9a0d8c1bb60b62db%22	https://public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-72x72-precomposed.png	C:/My%20Web%20Sites/SmartHR2/public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-72x72-precomposed.png	(from https://preview.themeforest.net/item/smarthr-bootstrap-admin-panel-template/full_screen_preview/21153150?_ga=2.198023082.409208515.1551843542-48495272.1551843542)
03:50:12	6700/6700	---M--	200	added ('OK')	image/png	etag:%2271bb96fca73f4ae046c5e4860cb86af5%22	https://public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-114x114-precomposed.png	C:/My%20Web%20Sites/SmartHR2/public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-114x114-precomposed.png	(from https://preview.themeforest.net/item/smarthr-bootstrap-admin-panel-template/full_screen_preview/21153150?_ga=2.198023082.409208515.1551843542-48495272.1551843542)
03:50:12	9251/9251	---M--	200	added ('OK')	image/png	etag:%22571b0585baccf30bde09cb6e5aad849f%22	https://public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-144x144-precomposed.png	C:/My%20Web%20Sites/SmartHR2/public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-144x144-precomposed.png	(from https://preview.themeforest.net/item/smarthr-bootstrap-admin-panel-template/full_screen_preview/21153150?_ga=2.198023082.409208515.1551843542-48495272.1551843542)
03:50:12	9251/9251	---M--	200	added ('OK')	image/png	etag:%22571b0585baccf30bde09cb6e5aad849f%22	https://public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-precomposed.png	C:/My%20Web%20Sites/SmartHR2/public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-precomposed.png	(from https://preview.themeforest.net/item/smarthr-bootstrap-admin-panel-template/full_screen_preview/21153150?_ga=2.198023082.409208515.1551843542-48495272.1551843542)
03:50:14	133691/133691	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2027%20Feb%202019%2005:18:00%20GMT	https://public-assets.envato-static.com/assets/market/pages/full_screen_preview/index-12e66d37dd6c1db6ed91e7082e89ba9199cc383f24ec4f3cbd4ca469daf998b9.js	C:/My%20Web%20Sites/SmartHR2/public-assets.envato-static.com/assets/market/pages/full_screen_preview/index-12e66d37dd6c1db6ed91e7082e89ba9199cc383f24ec4f3cbd4ca469daf998b9.js	(from https://preview.themeforest.net/item/smarthr-bootstrap-admin-panel-template/full_screen_preview/21153150?_ga=2.198023082.409208515.1551843542-48495272.1551843542)
03:50:14	62639/62639	---MC-	200	added ('OK')	application/javascript	date:Wed,%2006%20Mar%202019%2003:50:14%20GMT	https://www.googletagmanager.com/gtag/js?id=UA-11834194-7	C:/My%20Web%20Sites/SmartHR2/www.googletagmanager.com/gtag/js78b7	(from https://preview.themeforest.net/item/smarthr-bootstrap-admin-panel-template/full_screen_preview/21153150?_ga=2.198023082.409208515.1551843542-48495272.1551843542)
03:50:15	148788/148788	---MCZ	200	added ('OK')	text/html	etag:W/%22559206132419aeb96f072f27cef3b706%22	https://themeforest.net/item/smarthr-bootstrap-admin-panel-template/21153150	C:/My%20Web%20Sites/SmartHR2/themeforest.net/item/smarthr-bootstrap-admin-panel-template/21153150.html	(from https://preview.themeforest.net/item/smarthr-bootstrap-admin-panel-template/full_screen_preview/21153150?_ga=2.198023082.409208515.1551843542-48495272.1551843542)
03:50:15	24084/24084	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Mar%202019%2003:50:16%20GMT	https://dreamguys.co.in/smarthr/	C:/My%20Web%20Sites/SmartHR2/dreamguys.co.in/smarthr/index.html	(from https://preview.themeforest.net/item/smarthr-bootstrap-admin-panel-template/full_screen_preview/21153150?_ga=2.198023082.409208515.1551843542-48495272.1551843542)
03:50:16	34857/34857	---M-Z	200	added ('OK')	application/javascript	etag:%2280a94e43d6c9d41:0%22	https://consent.cookiebot.com/uc.js	C:/My%20Web%20Sites/SmartHR2/consent.cookiebot.com/uc.js	(from https://preview.themeforest.net/item/smarthr-bootstrap-admin-panel-template/full_screen_preview/21153150?_ga=2.198023082.409208515.1551843542-48495272.1551843542)
03:50:17	0/0	---MC-	410	error ('Gone')	text/html	date:Wed,%2006%20Mar%202019%2003:50:17%20GMT	https://preview.themeforest.net/item/smarthr-bootstrap-admin-panel-template/full_screen_preview/linkid.js	C:/My%20Web%20Sites/SmartHR2/preview.themeforest.net/item/smarthr-bootstrap-admin-panel-template/full_screen_preview/linkid.c.delayed	(from https://preview.themeforest.net/item/smarthr-bootstrap-admin-panel-template/full_screen_preview/21153150?_ga=2.198023082.409208515.1551843542-48495272.1551843542)
